Review,Label,sentiment,sentiment label,srl label
while there may have been less noise caused by turbulence as they claim  the duct seemed to be vibrating  giving a whining sound,"{'PRED': [4, 5], 'PROD1': [0], 'ASP': [6], 'PROD2': [14]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 1 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i love the fact that this adds a little more weight and stability to the d70,"{'PRED': [8, 9], 'PROD1': [5], 'ASP': [10], 'PROD2': [15]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
go ahead  find a center channel for the same price that even comes close to the sound of the csi3,"{'PRED': [8], 'PROD1': [0], 'ASP': [9], 'PROD2': [19]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0]]
leaving aa's behind at a lower price than the standalone option  and this unit gives you the option to play while charging  albeit at a cost of speed,"{'PRED': [5], 'PROD1': [0], 'ASP': [6], 'PROD2': [9]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
this product works wonderful and i got it for a much better price from amazon than anywhere else,"{'PRED': [10, 11], 'PROD1': [7], 'ASP': [12], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 2 0 0 1 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the wrx911 is more expensive than the ka202l  but the extra cost is justified due to the higher quality product,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [7]}",POSITIVE,"[0, 1, 0]",[[0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
good price  but the connectors at one end of the cable are loose irregardless of what i plug them into,"{'PRED': [], 'PROD1': [0], 'ASP': [1], 'PROD2': [10]}",NEGATIVE,"[0, 0, 1]",[[0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it is far more expensive to keep full of ink,"{'PRED': [2, 3], 'PROD1': [0], 'ASP': [4], 'PROD2': [9]}",NEGATIVE,"[0, 0, 1]",[[2 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
much faster than the epson cx6400 we had before,"{'PRED': [], 'PROD1': [0], 'ASP': [1], 'PROD2': [4]}",POSITIVE,"[0, 1, 0]",[[2 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it is so much faster than my old hp and the overall quality of photos and printed material is much improved,"{'PRED': [2, 3], 'PROD1': [0], 'ASP': [4], 'PROD2': [8]}",POSITIVE,"[0, 1, 0]",[[2 0 0 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
although it is a little different from what it is described  it still has the same function as what i need for my camera,"{'PRED': [15], 'PROD1': [11], 'ASP': [16], 'PROD2': [23]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 1 1 0 0 2 0 0 2 0 0 1 1 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0]]
being that it has a higher resolution then any of the palm mono devices it looks quite good,"{'PRED': [5], 'PROD1': [2], 'ASP': [6], 'PROD2': [11]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
with the current $150 rebate its about the same price as the palm 505  but with better features,"{'PRED': [8], 'PROD1': [5], 'ASP': [9], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 2 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
so much faster and more comfortable than a mouse,"{'PRED': [1], 'PROD1': [0], 'ASP': [2], 'PROD2': [8]}",POSITIVE,"[0, 1, 0]",[[0 1 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it worked a little faster than seagate free agent 500gb  but the seagate stands upright on a wobbly stand finally  i gave it only 4 stars because of the design,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [6]}",POSITIVE,"[0, 1, 0]",[[2 0 0 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i would have prefered more weight  one of the best attributes of the classic microsoft mouse,"{'PRED': [3, 4], 'PROD1': [0], 'ASP': [5], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 1 1 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
for years  l had routinely purchased a five-pack of sa 90 tapes at about the same price as a five-pack of the maxell,"{'PRED': [15], 'PROD1': [0], 'ASP': [16], 'PROD2': [22]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
i have other drives and some emit more noise than a jet engine,"{'PRED': [7], 'PROD1': [0], 'ASP': [8], 'PROD2': [11]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the pioneer is lighter and more compact than the garmin and she has it attached to the windshield via the attachment accessory,"{'PRED': [5], 'PROD1': [13], 'ASP': [6], 'PROD2': [17]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
we paid around $53 00 pair- about the same price we paid for the last pairs of motorola radios we purchased,"{'PRED': [8], 'PROD1': [0], 'ASP': [9], 'PROD2': [17]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it is a little more expensive than an equivelant ipod  but the interface is better and it has more features  if you even care about them,"{'PRED': [3, 4], 'PROD1': [0], 'ASP': [5], 'PROD2': [9]}",POSITIVE,"[0, 1, 0]",[[2 0 0 1 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
get the more expensive one with power supply included  great for charging ipod,"{'PRED': [2], 'PROD1': [0], 'ASP': [3], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[0 0 1 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
gigabit for the really important people to get higher speeds to the server,"{'PRED': [8], 'PROD1': [0], 'ASP': [9], 'PROD2': [12]}",POSITIVE,"[0, 1, 0]",[[2 0 0 0 0 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
so $299 for the unit   and then another $300 to get it to have the same functionality as the tomtom one for $149,"{'PRED': [15], 'PROD1': [11], 'ASP': [16], 'PROD2': [19]}",NEGATIVE,"[0, 0, 1]",[[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the newer version of photoshop cs is able to read the nikon raw format,"{'PRED': [1], 'PROD1': [0], 'ASP': [2], 'PROD2': [5]}",POSITIVE,"[0, 1, 0]",[[0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
this lens is manual focus for my camera  reach i was needing to get better at,"{'PRED': [3], 'PROD1': [0], 'ASP': [4], 'PROD2': [7]}",POSITIVE,"[0, 1, 0]",[[0 0 0 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it has a really low weight  slightly less than the dx non-telephoto lens that comes with the d70s  and is well designed for quick focus,"{'PRED': [3, 4], 'PROD1': [0], 'ASP': [5], 'PROD2': [10]}",POSITIVE,"[0, 1, 0]",[[2 0 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
it was much less expensive than the plasma or lcd  and the picture looked great,"{'PRED': [2, 3], 'PROD1': [0], 'ASP': [4], 'PROD2': [7]}",POSITIVE,"[0, 1, 0]",[[2 0 1 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the 60 minute version allows more video time away from a computer for down-loading,"{'PRED': [5], 'PROD1': [0], 'ASP': [6], 'PROD2': [11]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
as a smaller sized set  it's great for the bedroom as an extra tv,"{'PRED': [2], 'PROD1': [5], 'ASP': [3], 'PROD2': [13]}",POSITIVE,"[0, 1, 0]",[[0 0 1 3 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
the 3m stand on the other hand is the exact same size as my laptop with docking station  so it takes up much less space,"{'PRED': [9, 10], 'PROD1': [0], 'ASP': [11], 'PROD2': [14]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 0 0 0 0 0 1 1 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
these are on par with those i've found in many stores  maybe a better price  to boot,"{'PRED': [13], 'PROD1': [0], 'ASP': [14], 'PROD2': [16]}",POSITIVE,"[0, 1, 0]",[[2 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
had previously used a more dense version from the same maker,"{'PRED': [4, 5], 'PROD1': [0], 'ASP': [6], 'PROD2': [10]}",POSITIVE,"[0, 1, 0]",[[0 0 0 0 1 1 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]
